timestamp,skinId,source,price,volume
2026-01-28T16:45:12.987509+00:00,Fracture-Case,steam,0.71,44967
2026-01-28T16:45:14.113858+00:00,Dreams-Nightmares-Case,steam,1.61,100957
2026-01-28T16:45:15.218810+00:00,Recoil-Case,steam,0.36,89942
2026-01-28T16:45:16.344990+00:00,Revolution-Case,steam,0.36,90221
2026-01-28T16:45:17.379939+00:00,Kilowatt-Case,steam,0.31,105072
2026-01-28T16:45:18.393574+00:00,Fever-Case,steam,0.98,80989
2026-01-28T16:45:19.485990+00:00,Sealed-Genesis-Terminal,steam,0.34,57308
2026-01-28T16:45:20.477502+00:00,Gamma-2-Case,steam,4.78,2824
2026-01-28T16:45:21.483458+00:00,Glove-Case,steam,20.72,1823
2026-01-28T16:45:22.563608+00:00,MP7-Bloodsport-Battle-Scarred,steam,49.64,36
2026-01-28T16:45:23.618556+00:00,M4A1-S-Black-Lotus-Field-Tested,steam,9.0,721
2026-01-28T16:45:24.792586+00:00,P90-Teardown-Field-Tested,steam,0.27,946
2026-01-28T16:45:25.860192+00:00,AK-47-Legion-of-Anubis-Field-Tested,steam,50.5,179
2026-01-28T16:45:27.009444+00:00,AK-47-Ice-Coaled-Field-Tested,steam,7.5,910
2026-01-28T16:45:28.506778+00:00,MP7-Fade-Factory-New,steam,32.46,263
2026-01-28T16:45:29.535865+00:00,Gamma-Case,steam,4.74,2307
2026-01-28T16:45:30.903742+00:00,Paris-2023-Contenders-Sticker-Capsule,steam,0.12,21435
2026-01-28T16:45:52.573235+00:00,M4A4-Griffin-Minimal-Wear,steam,8.3,32
2026-01-28T16:45:56.222459+00:00,AWP-Elite-Build-Field-Tested,steam,30.93,16
2026-01-28T16:46:09.730872+00:00,Galil-AR-Eco-Field-Tested,steam,17.89,47
2026-01-28T16:46:10.738687+00:00,MAC-10-Sakkaku-Well-Worn,steam,0.64,331
2026-01-28T16:46:11.811059+00:00,StatTrak-AK-47-Slate-Well-Worn,steam,17.87,43
2026-01-28T16:46:12.820074+00:00,StatTrak-Glock-18-Block-18-Field-Tested,steam,2.3,210
